run_id,model,model_description,input_policy,g05_fraction,g05_count_per_sample,seed,parameter_count,mean_position_mae,position_error_1,position_error_2,mean_position_3d_error,charge_mae_q1,charge_mae_q2,charge_magnitude_mae,relative_sign_accuracy,global_sign_bce,global_sign_accuracy,absolute_sign_accuracy,signed_pair_accuracy,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,observed_sample_fraction,observations_per_sample,best_validation_loss,best_epoch,elapsed_seconds,best_checkpoint
g05_full_reconstruction__g05_000pct__seed_42__dea42d68887c,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,42,211946,0.12493434548377991,0.25437527894973755,0.2573184072971344,0.255846843123436,0.09877144357562065,0.09626430667936801,0.09717190265655518,0.999,,,,,0.10230544209480286,0.1671246439218521,0.10200951993465424,0.10304207354784012,0.16464629769325256,0.11047811806201935,0.0,0.0,0.14091131544113158,300,272.05235480000556,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v2\g05_full_reconstruction__g05_000pct__seed_42__dea42d68887c\best.pt
g05_full_reconstruction__g05_010pct__seed_42__0c42e58dcd15,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,42,211946,0.12861420214176178,0.25888359546661377,0.26923200488090515,0.26405780017375946,0.16272505462169648,0.15628908391296864,0.09816434979438782,0.997,0.12856841618425158,0.946,0.9455,0.944,0.10225275158882141,0.17303906381130219,0.10089557617902756,0.10935299098491669,0.17193806171417236,0.11420676857233047,1.0,3.0,0.28151166903972624,203,219.350162799994,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v2\g05_full_reconstruction__g05_010pct__seed_42__0c42e58dcd15\best.pt
g05_full_reconstruction__g05_050pct__seed_42__08ce58b917ae,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,42,211946,0.12085634469985962,0.2489796131849289,0.24695707857608795,0.24796834588050842,0.11868866348266602,0.1218220061212778,0.09866803139448166,0.999,0.06135948778579269,0.98,0.9795,0.979,0.10094425082206726,0.1612476259469986,0.1005326360464096,0.09544876217842102,0.16160213947296143,0.10536262392997742,1.0,16.0,0.19930245131254196,274,221.13607160000538,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v2\g05_full_reconstruction__g05_050pct__seed_42__08ce58b917ae\best.pt
g05_full_reconstruction__g05_075pct__seed_42__db6010a50234,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,42,211946,0.12610189616680145,0.25976720452308655,0.2576662003993988,0.2587167024612427,0.12657110446691514,0.12804244965314865,0.10120507329702377,0.999,0.06303540448648744,0.977,0.9765,0.976,0.10109556466341019,0.17194363474845886,0.10459257662296295,0.10248889029026031,0.1704011857509613,0.10608946532011032,1.0,24.0,0.19634837940335273,294,220.8358647999994,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v2\g05_full_reconstruction__g05_075pct__seed_42__db6010a50234\best.pt
g05_full_reconstruction__g05_100pct__seed_42__2a48206499c2,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,42,211946,0.12263179570436478,0.24945025146007538,0.2553126811981201,0.25238146632909775,0.13139788956940174,0.13020539493858815,0.10008066147565842,0.996,0.0641611777365054,0.974,0.972,0.97,0.0961853489279747,0.165716290473938,0.10114768892526627,0.10624527931213379,0.16595232486724854,0.10054386407136917,1.0,32.0,0.20983411982655525,207,215.31096380000236,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v2\g05_full_reconstruction__g05_100pct__seed_42__2a48206499c2\best.pt
g05_sign_only__g05_000pct__seed_42__e8826f33d1d0,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,42,211946,0.12493434548377991,0.25437527894973755,0.2573184072971344,0.255846843123436,0.09877144357562065,0.09626430667936801,0.09717190265655518,0.999,,,,,0.10230544209480286,0.1671246439218521,0.10200951993465424,0.10304207354784012,0.16464629769325256,0.11047811806201935,0.0,0.0,0.14091131544113158,300,188.49837410000328,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v2\g05_sign_only__g05_000pct__seed_42__e8826f33d1d0\best.pt
g05_sign_only__g05_010pct__seed_42__5a2a9b248717,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,42,211946,0.12493434548377991,0.25437527894973755,0.2573184072971344,0.255846843123436,0.15217586186528206,0.15729953201115132,0.09717190265655518,0.999,0.11711955324835241,0.952,0.9515,0.951,0.10230544209480286,0.1671246439218521,0.10200951993465424,0.10304207354784012,0.16464629769325256,0.11047811806201935,1.0,3.0,0.2781160014867783,300,248.18179420000524,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v2\g05_sign_only__g05_010pct__seed_42__5a2a9b248717\best.pt
g05_sign_only__g05_050pct__seed_42__3699bf8d716a,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,42,211946,0.12493434548377991,0.25437527894973755,0.2573184072971344,0.255846843123436,0.12744828751683235,0.1284255157262087,0.09717190265655518,0.999,0.07179289625962747,0.974,0.9735,0.973,0.10230544209480286,0.1671246439218521,0.10200951993465424,0.10304207354784012,0.16464629769325256,0.11047811806201935,1.0,16.0,0.19504472902417183,300,213.5576762000128,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v2\g05_sign_only__g05_050pct__seed_42__3699bf8d716a\best.pt
g05_sign_only__g05_075pct__seed_42__be471aee3fdf,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.75,24,42,211946,0.12493434548377991,0.25437527894973755,0.2573184072971344,0.255846843123436,0.11619874086976051,0.11955926783382892,0.09717190265655518,0.999,0.06100527579042873,0.982,0.9815,0.981,0.10230544209480286,0.1671246439218521,0.10200951993465424,0.10304207354784012,0.16464629769325256,0.11047811806201935,1.0,24.0,0.19512198531627656,300,215.15391370000725,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v2\g05_sign_only__g05_075pct__seed_42__be471aee3fdf\best.pt
g05_sign_only__g05_100pct__seed_42__b27f5a80f80b,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",1.0,32,42,211946,0.1273362785577774,0.2588340938091278,0.2629058361053467,0.26086996495723724,0.12744565357267856,0.12668047976493835,0.09888968616724014,0.999,0.06822001081662278,0.976,0.9755,0.975,0.10498972982168198,0.17192158102989197,0.10098758339881897,0.10427150130271912,0.16885483264923096,0.11299241334199905,1.0,32.0,0.20593406860530378,299,210.76926519999688,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v2\g05_sign_only__g05_100pct__seed_42__b27f5a80f80b\best.pt
