run_id,model,model_description,input_policy,g05_fraction,g05_count_per_sample,seed,parameter_count,mean_position_mae,position_error_1,position_error_2,mean_position_3d_error,charge_mae_q1,charge_mae_q2,charge_magnitude_mae,relative_sign_accuracy,global_sign_bce,global_sign_accuracy,absolute_sign_accuracy,signed_pair_accuracy,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,observed_sample_fraction,observations_per_sample,best_validation_loss,best_epoch,elapsed_seconds,best_checkpoint
g05_full_reconstruction__g05_000pct__seed_42__81151f25bb7d,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,42,211946,0.1323583573102951,0.27052420377731323,0.2735902667045593,0.2720572352409363,0.10008078104257584,0.09987621119618416,0.09903010725975037,0.997,,,,,0.11284450441598892,0.17394013702869415,0.10810427367687225,0.11041250824928284,0.1780804693698883,0.11076827347278595,0.0,0.0,0.14840306997299194,186,413.1339853000827,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_000pct__seed_42__81151f25bb7d\best.pt
g05_full_reconstruction__g05_010pct__seed_42__6aa5a9b1e159,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,42,211946,0.12649275362491608,0.25725695490837097,0.26194116473197937,0.25959905982017517,0.15684606142342092,0.15887219567596914,0.10164747387170792,0.998,0.12036051458332066,0.953,0.952,0.951,0.09541060775518417,0.17330077290534973,0.10587973147630692,0.10826169699430466,0.16602031886577606,0.11008340120315552,1.0,3.0,0.28066037106513975,229,439.1895704995841,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_010pct__seed_42__6aa5a9b1e159\best.pt
g05_full_reconstruction__g05_025pct__seed_42__fbc9920187e5,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.25,8,42,211946,0.1293664276599884,0.26989588141441345,0.2620983421802521,0.26599711179733276,0.1321181510090828,0.1324207403063774,0.10143530368804932,0.998,0.08023100515445805,0.971,0.971,0.97,0.1099182590842247,0.17568126320838928,0.10989804565906525,0.10319066792726517,0.1697222739458084,0.10778806358575821,1.0,8.0,0.20315124982595442,277,405.67750360025093,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_025pct__seed_42__fbc9920187e5\best.pt
g05_full_reconstruction__g05_050pct__seed_42__6491e820bf07,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,42,211946,0.12528714537620544,0.256497859954834,0.25979694724082947,0.2581474035978317,0.12105086344480515,0.11898300597071648,0.09669258445501328,0.998,0.06090767529033174,0.98,0.98,0.979,0.10727748274803162,0.16934020817279816,0.09864293038845062,0.10058147460222244,0.1741715520620346,0.10170917212963104,1.0,16.0,0.18061143016815187,219,425.85590639989823,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_050pct__seed_42__6491e820bf07\best.pt
g05_full_reconstruction__g05_075pct__seed_42__41255cc32787,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,42,211946,0.12405010312795639,0.25433748960494995,0.25086718797683716,0.25260233879089355,0.12506003902852536,0.12747135505080223,0.10198699682950974,0.996,0.05787079090381471,0.979,0.977,0.975,0.10365207493305206,0.16429361701011658,0.10539310425519943,0.10788632929325104,0.15695637464523315,0.1061190813779831,1.0,24.0,0.19848229259252548,207,401.23129320004955,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_075pct__seed_42__41255cc32787\best.pt
g05_full_reconstruction__g05_100pct__seed_42__c183e9110249,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,42,211946,0.1269194781780243,0.2607603967189789,0.25896933674812317,0.259864866733551,0.12885898673534393,0.1263956621438265,0.10126496851444244,1.0,0.06467573435455697,0.976,0.976,0.976,0.10366018861532211,0.1712658405303955,0.10799156129360199,0.10201796144247055,0.17116796970367432,0.10541336238384247,1.0,32.0,0.21181920105218888,273,403.1481802999042,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_100pct__seed_42__c183e9110249\best.pt
g05_sign_only__g05_000pct__seed_42__6b100b1ac4a7,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,42,211946,0.1323583573102951,0.27052420377731323,0.2735902667045593,0.2720572352409363,0.10008078104257584,0.09987621119618416,0.09903010725975037,0.997,,,,,0.11284450441598892,0.17394013702869415,0.10810427367687225,0.11041250824928284,0.1780804693698883,0.11076827347278595,0.0,0.0,0.14840306997299194,186,385.0185453998856,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_sign_only__g05_000pct__seed_42__6b100b1ac4a7\best.pt
g05_sign_only__g05_010pct__seed_42__46939a6645cd,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,42,211946,0.1340603530406952,0.27790629863739014,0.2722424566745758,0.27507437765598297,0.15346609035134315,0.15586434711515904,0.09896508604288101,0.997,0.1152472169946361,0.953,0.9515,0.95,0.11812704801559448,0.1783619076013565,0.10936940461397171,0.11248074471950531,0.17417863011360168,0.11184436827898026,1.0,3.0,0.2874557543992996,185,419.274657599628,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_sign_only__g05_010pct__seed_42__46939a6645cd\best.pt
g05_sign_only__g05_025pct__seed_42__3e4c8d01a600,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.25,8,42,211946,0.1323583573102951,0.27052420377731323,0.2735902667045593,0.2720572352409363,0.12452185747027397,0.12666212448477746,0.09903010725975037,0.997,0.07663876324403289,0.976,0.9755,0.974,0.11284450441598892,0.17394013702869415,0.10810427367687225,0.11041250824928284,0.1780804693698883,0.11076827347278595,1.0,8.0,0.22051262915134429,186,398.12098779994994,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_sign_only__g05_025pct__seed_42__3e4c8d01a600\best.pt
g05_sign_only__g05_050pct__seed_42__f4d774fd33bc,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,42,211946,0.1323583573102951,0.27052420377731323,0.2735902667045593,0.2720572352409363,0.12447577294707299,0.12591407838463783,0.09903010725975037,0.997,0.062405328751013456,0.977,0.9765,0.975,0.11284450441598892,0.17394013702869415,0.10810427367687225,0.11041250824928284,0.1780804693698883,0.11076827347278595,1.0,16.0,0.20470184308290482,186,400.5895091998391,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_sign_only__g05_050pct__seed_42__f4d774fd33bc\best.pt
