epoch,train_total,train_structure,train_position,train_magnitude,train_relative_sign,train_global_sign,validation_total,validation_structure,validation_position,validation_magnitude,validation_relative_sign,validation_global_sign
1,1.7791008067131044,1.0896050148010255,0.7967771511077881,0.093232641518116,0.1995952184200287,0.6894957919120789,1.6100407285690308,0.9253279671669007,0.7605759491920471,0.08459949517250061,0.08015251970291137,0.6847127614021301
2,1.526042224407196,0.8662199745178223,0.7143130159378052,0.08277240759134293,0.06913455158472061,0.6598222498893738,1.4806834869384766,0.8562363533973694,0.7091600885391235,0.08115936034917831,0.06591691505908966,0.6244471335411071
3,1.3871102030277251,0.8245421290397644,0.6767193050384521,0.08093721437454224,0.0668856122493744,0.5625680739879608,1.364804319858551,0.8150117855072021,0.6695913395881653,0.0808977832198143,0.06452265584468841,0.5497925343513489
4,1.264268164873123,0.7872630023956299,0.645898042678833,0.07960811537504196,0.061756846904754636,0.4770051624774933,1.2704330215454103,0.799505033493042,0.6581591567993164,0.07850846630334854,0.06283741211891174,0.4709279880523682
5,1.1767031106948853,0.7545211567878723,0.6173204159736634,0.07813207060098648,0.05906867358088493,0.42218195390701296,1.2083393573760985,0.7659948320388794,0.625969886302948,0.07763409870862961,0.06239084315299988,0.44234452533721924
6,1.1161316168308257,0.726099383354187,0.5910343127250671,0.07736951488256455,0.05769555574655533,0.3900322334766388,1.1442257413864136,0.7297590613365174,0.5919440226554871,0.07673182284832,0.06108320999145508,0.41446668004989623
7,1.0737439479827882,0.7040517001152039,0.5705254259109497,0.07658842819929122,0.05693784573674202,0.36969224786758426,1.1103859472274782,0.7130687232017517,0.5764078698158264,0.07662104779481888,0.060039803087711334,0.39731722402572633
8,1.042167056083679,0.6853634986877442,0.554672128200531,0.07595694434642791,0.0547344286441803,0.35680355739593506,1.0892164318561552,0.7034505968093872,0.5686586790084839,0.075125832259655,0.05966608527302742,0.3857658350467682
9,1.0193939609527587,0.6736490311622619,0.5444951877593994,0.07580863481760025,0.05334520876407623,0.3457449297904968,1.0743755338191985,0.692046600818634,0.5575606732368469,0.07553029203414917,0.05895564821362496,0.3823289330005646
10,1.0005670611858368,0.6606434917449951,0.5324172773361207,0.07549648606777191,0.05272973147034645,0.3399235694408417,1.0715093398094178,0.6903760485649109,0.5478969354629517,0.07941263943910598,0.06306648641824722,0.38113329124450684
