epoch,train_total,train_structure,train_position,train_magnitude,train_relative_sign,train_global_sign,validation_total,validation_structure,validation_position,validation_magnitude,validation_relative_sign,validation_global_sign
1,1.785952058315277,1.0984189829826354,0.7915630617141723,0.09284290093183517,0.21401301831007002,0.6875330753326416,1.598470540523529,0.9200279159545899,0.7378972783088684,0.08604916870594025,0.09608148038387299,0.6784426245689392
2,1.5152548460960387,0.869075753211975,0.70575288438797,0.08446764618158341,0.07885522747039794,0.6461790928840637,1.4456099762916566,0.8386423668861389,0.6808410396575928,0.08127056831121444,0.07653076827526092,0.6069676094055175
3,1.34791304063797,0.8056542806625366,0.6596776504516602,0.08102486962080002,0.06495176446437835,0.5422587599754334,1.303785901069641,0.7971048245429992,0.6410085425376892,0.0802648839354515,0.07583138900995255,0.5066810765266418
4,1.1928738918304442,0.7632975549697876,0.6208116259574891,0.07977672046422958,0.06270920974016189,0.4295763368606567,1.1805088529586791,0.7550841956138611,0.6132458672523499,0.07789189666509629,0.06394643911719322,0.4254246573448181
5,1.1083631036281587,0.7337252364158631,0.5941868004798889,0.07853572547435761,0.06100271412730217,0.37463786721229553,1.1265076198577881,0.7361659369468689,0.5924122223854065,0.07848266232013702,0.0652710571885109,0.3903416829109192
6,1.054991691827774,0.7052452812194824,0.5716793508529663,0.07687216073274612,0.05669377574324608,0.34974641060829165,1.0944814789295196,0.7161547813415527,0.5791271691322326,0.07746858805418015,0.05955903211236,0.37832669758796694
7,1.0262662692070008,0.6866934003829956,0.5547201766967773,0.0765541969537735,0.05541903248429298,0.3395728688240051,1.0755850031375884,0.7008346176147461,0.5650177488327026,0.07647552478313446,0.05934132850170135,0.3747503855228424
8,1.0113378441333771,0.674552011013031,0.5452236499786377,0.0761391664147377,0.053189197778701784,0.33678583312034605,1.0753199427127837,0.6968207511901855,0.5591189999580384,0.07561868911981583,0.062083058208227154,0.37849919152259826
9,1.0007004194259643,0.6660979962348939,0.535604784488678,0.0754551950097084,0.05503801441192627,0.33460242319107053,1.053925797700882,0.6797533597946167,0.5465259547233582,0.07550451546907425,0.05772288659214973,0.37417243790626525
10,0.9778182737827301,0.6504833159446717,0.5244372344017029,0.07474124735593796,0.05130483478307724,0.3273349578380585,1.042773888349533,0.6762862224578857,0.5433723678588868,0.0753446437716484,0.05756919729709625,0.36648766589164733
11,0.9629462044239043,0.636153025150299,0.5108157911300659,0.07479572921991348,0.05054150602221489,0.32679317927360535,1.0454314074516295,0.6704844841957093,0.535466986656189,0.07571519190073013,0.0593023082613945,0.3749469232559204
12,0.9494088561534881,0.6253013849258423,0.5015869760513305,0.0744951559305191,0.049219254851341245,0.3241074712276459,1.033192396879196,0.6659283580780029,0.5345290689468384,0.07473552453517913,0.05666377341747284,0.36726403880119324
13,0.9461753225326537,0.6176801686286926,0.49441074991226197,0.07429380017518997,0.04897561611235142,0.32849515390396117,1.0349095962047576,0.6585363874435425,0.5178340921401977,0.07548674666881561,0.0652155459523201,0.3763732087612152
14,0.930612220287323,0.6094012722969055,0.4866120595932007,0.07378273886442184,0.049006475865840914,0.3212109479904175,1.0187814977169036,0.6546055307388305,0.5146783127784729,0.07496936935186387,0.06495785000920296,0.36417596697807314
15,0.9284789391756058,0.6073857545852661,0.4849113852977753,0.07366450154781341,0.04880986511707306,0.32109318459033964,1.0128789536952973,0.6476059565544129,0.5125832743644715,0.07470579308271408,0.06031688004732132,0.3652729971408844
16,0.9138348100185394,0.593602159023285,0.4731754987239838,0.0730377053618431,0.04738895609974861,0.3202326509952545,1.036703164100647,0.6486848516464233,0.5123201928138733,0.07467337298393249,0.06169128358364105,0.38801831245422364
17,0.9059224212169648,0.5824165644645691,0.46293283867836,0.07304410672187805,0.046439624458551404,0.3235058567523956,0.9901070325374604,0.630655996799469,0.4989554719924927,0.07457910209894181,0.05712141901254654,0.3594510357379913
